GEOID,suicide_count,pop_total,pct_male,pct_age_15_24,pct_age_25_44,pct_age_45_64,pct_age_65p,median_age,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_two_or_more,median_hh_income,per_capita_income,poverty_rate_all,poverty_rate_child_u18,poverty_rate_elderly_65p,gini_index,hh_public_assistance_share,lfp_rate_16p,unemployment_rate,not_in_labor_force_share_16p,edu_lt_hs_25p,edu_hs_grad_25p,edu_some_college_25p,edu_ba_plus_25p,edu_grad_prof_25p,hh_total,hh_single_person_share,hh_married_couple_share,hh_female_householder_no_spouse_share,avg_hh_size,marital_never_married_share_15p,marital_divorced_share_15p,marital_separated_share_15p,marital_married_share_15p,housing_occupied_share,housing_vacancy_rate,homeownership_rate,renter_occupied_share,overcrowding_rate_gt1pproom,rent_burdened_gt30,rent_burdened_gt50,residential_stability_same_house_1yr,foreign_born_share,uninsured_rate,veteran_share_18p
44007017700,2,3433,0.579085348,0.155840373,0.170404894,0.291581707,0.216137489,47.5,0.101951646,0.743955724,0.079813574,0.008156132,0.009903874,0,83763,38281,0.049810661,0.134502924,0.090296496,0.3581,0.010295127,0.650153741,0.15659485,0.349846259,0.076754386,0.283625731,0.280336257,0.241959064,0.070175439,1457,0.32807138,0.513383665,0.134522992,2.34,0.232744248,0.024341447,0.046682227,0.55951984,0.90948814,0.09051186,0.71379547,0.28620453,0,0.230769231,0.140583554,0,0.079813574,0.04194582,0.131330772
44007017900,1,3128,0.38011509,0.145140665,0.255754476,0.216751918,0.155370844,36.7,0.287084399,0.541879795,0.079923274,0.001278772,0.009590793,0.047314578,34375,26807,0.319373402,0.334334334,0.462962963,0.5043,0.051539012,0.597069597,0.232447171,0.402930403,0.216120461,0.322852081,0.255978742,0.154118689,0.041629761,1397,0.491768074,0.294917681,0.189692198,2.22,0.184285136,0,0.074524099,0.421223167,0.831052945,0.168947055,0.171796707,0.828203293,0,0.518711923,0.296779809,0,0.18702046,0.039961637,0.065343259
44007018000,1,2914,0.467741935,0.17947838,0.179821551,0.272820865,0.200754976,41.8,0.310569664,0.486273164,0.066918325,0.001372684,0.098833219,0,28902,24301,0.275223061,0.337905237,0.335042735,0.5145,0.193745233,0.482252142,0.08037225,0.517747858,0.309376487,0.237029986,0.239885769,0.171346978,0.089957163,1311,0.640732265,0.191456903,0.152555301,2.2,0.217054264,0.025703794,0.043655651,0.443492452,0.910416667,0.089583333,0.117467582,0.882532418,0,0.519446845,0.231633535,0,0.141729581,0.027796843,0.057684384
44007018100,4,2974,0.560860794,0.162407532,0.254539341,0.271015467,0.049092132,32.5,0.329186281,0.408876933,0.131809011,0,0.094149294,0.003698722,46202,23123,0.30071844,0.673492605,0.342465753,0.3963,0.14092827,0.678299776,0.060384871,0.321700224,0.287797764,0.295576082,0.278074866,0.09382596,0.039377735,1185,0.56371308,0.175527426,0.147679325,2.51,0.318080853,0.004886717,0.041759218,0.599733452,0.856213873,0.143786127,0.214345992,0.785654008,0.053164557,0.600222717,0.35857461,0.007284079,0.291862811,0.152445194,0.040769583
44007018200,1,3274,0.547953574,0.212583995,0.263591936,0.194257789,0.064141723,30.8,0.18845449,0.461514966,0.063530849,0.014050092,0.176542456,0.005803299,89223,38212,0.133312808,0.581986143,0.171428571,0.391,0.165203512,0.713289582,0.051753882,0.286710418,0.14404817,0.322371468,0.207966651,0.264011116,0.143121816,1253,0.270550678,0.479648843,0.224261772,2.61,0.184987695,0.007383101,0.03609516,0.502050861,0.924723247,0.075276753,0.351955307,0.648044693,0,0.223048327,0.09913259,0.003455859,0.177153329,0.026878436,0.024948025
44007018400,4,6316,0.491133629,0.202343255,0.1489867,0.300031666,0.178752375,41,0.251741609,0.545915136,0.029765674,0,0.088663711,0,61220,32539,0.202626033,0.392,0.30469442,0.4853,0.034157833,0.631000366,0.041231127,0.368999634,0.175130208,0.274739583,0.225260417,0.251302083,0.095920139,2547,0.327444052,0.411464468,0.217903416,2.41,0.186715196,0.013466788,0.059690628,0.456050955,0.948956781,0.051043219,0.53828033,0.46171967,0,0.285051068,0.241411328,0.003524511,0.117479417,0.006484033,0.063322525
44007018500,2,2755,0.462068966,0.092558984,0.199274047,0.305989111,0.245735027,48.7,0.155716878,0.699092559,0.004718693,0,0.123411978,0.002903811,74783,40641,0.074376947,0.329842932,0.091580502,0.435,0.01910299,0.639275179,0.047462096,0.360724821,0.198800738,0.241236162,0.239391144,0.169280443,0.037361624,1204,0.418604651,0.476744186,0.03654485,2.17,0.134680135,0.001683502,0.077861953,0.446548822,0.97648013,0.02351987,0.706810631,0.293189369,0.003322259,0.631728045,0.280453258,0.005198663,0.140834846,0,0.077452668
44009050102,1,2396,0.512520868,0.097662771,0.177796327,0.249165275,0.302170284,48.3,0.013772955,0.953672788,0,0.012520868,0.004590985,0,144492,78125,0.032971619,0.405063291,0.059392265,0.4102,0.005741627,0.640632724,0.034722222,0.359367276,0.038397329,0.110183639,0.11574847,0.697829716,0.293823038,1045,0.356937799,0.547368421,0.066028708,2.28,0.143474088,0.007677543,0.060940499,0.510556622,0.905545927,0.094454073,0.789473684,0.210526316,0,0.504761905,0.238095238,0,0.023789649,0,0.058051489
44009050103,5,5469,0.434083013,0.200950814,0.218504297,0.237154873,0.192722618,40.3,0.039678186,0.823733772,0.00457122,0,0.07368806,0,91445,53000,0.161821174,0.273446328,0.199240987,0.4695,0.040423121,0.662429673,0.064171123,0.337570327,0.037796443,0.188241107,0.246788538,0.425148221,0.125494071,2647,0.432565168,0.388364186,0.129958444,2.06,0.144278607,0.008499171,0.0526534,0.445480929,0.956286127,0.043713873,0.50245561,0.49754439,0,0.494004796,0.195843325,0,0.095447065,0.018833425,0.080086114
44009050104,3,3757,0.545648124,0.10194304,0.178067607,0.266702156,0.244343891,45.7,0.047378227,0.805429864,0.021027415,0,0.071067341,0,139028,57734,0.037187839,0.153284672,0.061002179,0.3634,0.016346837,0.6157289,0.015564202,0.3842711,0.038391225,0.147714808,0.21535649,0.496892139,0.235100548,1407,0.235963042,0.661691542,0.085287846,2.62,0.161078032,0.021936697,0.018802883,0.521780006,0.91126943,0.08873057,0.948827292,0.051172708,0,0.472222222,0.375,0.005642128,0.096353474,0.008996345,0.067486819
